Category,Restriction,Description,Example
Candidate Geography Restrictions,US-Only,"Excludes all non-US-based candidates.","Must be located in the United States to be considered for this role."
Candidate Geography Restrictions,EU-only,"Requires applicants to be located in a European Union member state.","This position is open to candidates residing in EU member states only."
Candidate Geography Restrictions,Our Country Only,"Hires candidates only from its own country.","Applicants must be based in [Company's Country] to be eligible."
Candidate Geography Restrictions,Specific State/Province Only (US),"Restricts positions to candidates in a specific state or province.","This role is open to residents of [Specific State/Province] only."
Candidate Geography Restrictions,Whitelist,"Specifies approved countries for remote candidates.","We are only able to consider candidates who are currently located in one of the following countries: [List of Countries]."
Candidate Geography Restrictions,Blacklist,"Excludes candidates from certain countries.","We are unable to consider candidates who are currently located in [List of Countries]."
Time-Zone Specific,Time zone specific,"Candidates need to be located in a specific time zone (e.g. EST, PST).","Must be located in the [Time Zone] time zone."
Time-Zone Specific,Offset specific,"Candidates need to be within a certain timezone offset relative to the main office.","Must be located within +/- [Number] hours of [GMT Offset/Time Zone]."
Misc Requirements,Internet Speed Requirements,"Requires remote employees to have a minimum internet speed.","Must have a minimum internet speed of [Speed] Mbps."
Misc Requirements,Background Check Requirements,"May necessitate background checks for remote employees.","Successful completion of a background check may be required."
Misc Requirements,Data Security Restrictions,"Imposes restrictions on devices or networks used to access company data.","Must comply with company data security policies regarding device and network usage."
Misc Requirements,On-site Visit Requirements,"Might require occasional on-site visits.","Occasional travel to our headquarters may be required."
Misc Requirements,Equipment Provisioning Restrictions,"Specifies whether the company provides equipment or if the employee uses their own.","Remote employees are responsible for providing their own equipment."
